trial,master_seed,shared_seed,graph_final_temp,graph_diff,classic_final_temp,classic_diff
1,2017977840,93644328,21.157286071139332,-0.8427139288606682,20.43240979882726,-1.5675902011727416
2,952747288,1623319950,22.169043696875814,0.16904369687581422,20.94277779562037,-1.0572222043796309
3,1270094490,874982401,21.219401992062224,-0.7805980079377761,20.766737821219795,-1.2332621787802047
4,2088308231,16554021,20.00000006082306,-1.9999999391769414,20.558203913179632,-1.4417960868203679
5,480909788,999000091,21.49528666439409,-0.5047133356059099,20.538374667562294,-1.4616253324377055
6,1552700485,72489989,20.000000024082567,-1.999999975917433,20.726868971208873,-1.273131028791127
7,1181573986,405108533,19.983624821247098,-2.0163751787529023,21.1300591852056,-0.8699408147944006
8,464971358,1931595098,20.787832920203947,-1.2121670797960533,20.858729908690723,-1.141270091309277
9,87895272,795907273,22.16904553104736,0.16904553104735953,20.60445692573626,-1.3955430742637382
10,89609934,319187094,22.168940578592828,0.16894057859282796,21.033389153486297,-0.9666108465137029
AVERAGE,,,21.11504623604683,-0.8849537639531683,20.75920081407371,-1.2407991859262897
DIFFERENCE,,,0.3558454219731182,0.3558454219731214,,
PERCENT_DIFF,,,1.7141576169535033,-28.678727872268333,,
