Trial,Seed,Classic MAE,Graph MAE,Difference (Graph-Classic),Diff %
1,75141843,40.282815,39.508547,-0.774269,-1.92%
2,75141844,38.396856,41.733115,3.336259,8.69%
3,75141845,39.199625,39.665126,0.465502,1.19%
4,75141846,40.859441,39.682421,-1.177019,-2.88%
5,75141847,39.635166,38.953174,-0.681992,-1.72%
6,75141848,39.231710,40.113708,0.881998,2.25%
7,75141849,40.629949,39.713054,-0.916894,-2.26%
8,75141850,39.034264,39.221282,0.187018,0.48%
9,75141851,42.314488,42.859274,0.544785,1.29%
10,75141852,40.301337,39.448378,-0.852959,-2.12%

MEAN,,39.988565,40.089808,0.101243,0.25%
