id,name,type,x,y,width,height
a,x0,DataStreamNode,,,,
b,Buff_x0,BufferNode,,,,
c,Add_L0N0,AdditionNode,,,,
d,Act_L0N0,SigmoidNode,,,,
e,Buff_H0N0,BufferNode,,,,
f,Add_L0N1,AdditionNode,,,,
g,Act_L0N1,SigmoidNode,,,,
h,Buff_H0N1,BufferNode,,,,
i,Add_L0N2,AdditionNode,,,,
j,Act_L0N2,SigmoidNode,,,,
k,Buff_H0N2,BufferNode,,,,
l,Add_y0,AdditionNode,,,,
m,y0,LinearNode,,,,
n,W_x0H0N0,ContainerNode,,,,
o,W_x0H0N1,ContainerNode,,,,
p,W_x0H0N2,ContainerNode,,,,
q,W_H0N0y0,ContainerNode,,,,
r,W_H0N1y0,ContainerNode,,,,
s,W_H0N2y0,ContainerNode,,,,
t,L_y0,DataStreamNode,,,,
u,Error_y0,SubtractionNode,,,,
v,Mul_x0H0,MultiplicationNode,,,,
w,Mul_x0H1,MultiplicationNode,,,,
x,Mul_x0H2,MultiplicationNode,,,,
y,Mul_H0N0y0,MultiplicationNode,,,,
z,Mul_H0N1y0,MultiplicationNode,,,,
a1,Mul_H0N2y0,MultiplicationNode,,,,
b1,LearningRate,DisplayNode,,,,
c1,D_y0,LinearNodeDerivative,,,,
d1,EG_y0,MultiplicationNode,,,,
e1,LRMult_y0,MultiplicationNode,,,,
f1,WG_H0N0W0,MultiplicationNode,,,,
g1,WNBuff_H0WN0K0,BufferNode,,,,
h1,D_H0N0,SigmoidDerivativeNode,,,,
i1,EG_H0N0,MultiplicationNode,,,,
j1,WGS_H0N0,AdditionNode,,,,
k1,LRMult_H0N0,MultiplicationNode,,,,
l1,WG_H0N1W0,MultiplicationNode,,,,
m1,WNBuff_H0WN1K0,BufferNode,,,,
n1,D_H0N1,SigmoidDerivativeNode,,,,
o1,EG_H0N1,MultiplicationNode,,,,
p1,WGS_H0N1,AdditionNode,,,,
q1,LRMult_H0N1,MultiplicationNode,,,,
r1,WG_H0N2W0,MultiplicationNode,,,,
s1,WNBuff_H0WN2K0,BufferNode,,,,
t1,D_H0N2,SigmoidDerivativeNode,,,,
u1,EG_H0N2,MultiplicationNode,,,,
v1,WGS_H0N2,AdditionNode,,,,
w1,LRMult_H0N2,MultiplicationNode,,,,
x1,dw_L0_W00,MultiplicationNode,,,,
y1,dw_L0_W01,MultiplicationNode,,,,
z1,dw_L0_W02,MultiplicationNode,,,,
a2,dw_L1_W00,MultiplicationNode,,,,
b2,dw_L1_W10,MultiplicationNode,,,,
c2,dw_L1_W20,MultiplicationNode,,,,
